IMDB_ID,DVD,Ext,Fmt,Resolution,FPS,Size,Time,Sub,Jellyfin,Sized,Modified,Title,Original_Title,Watched,Rating,Certification,Filename,FullPath
40506,1,.m4v,H264,480p,23.98,7.10,01:40,Text,DIRECT,NO,2020-09-24 17:10,Key Largo (1948),Key Largo,,8.0,Approved,Key Largo (1948).m4v,/media/daveg/Lib/Movies/Key Largo (1948).m4v
70735,1,.m4v,H264,460p,120,6.93,02:09,SRT,DIRECT,NO,2020-10-11 16:51,"Sting, The (1973)",The Sting,,10.0,PG,The Sting (1973).m4v,/media/daveg/Lib/Movies/The Sting (1973).m4v
83806,1,.m4v,H264,480p,24.08,6.73,01:56,Text,DIRECT,NO,2020-09-11 22:37,Deathtrap (1982),Deathtrap,2018-09-11,8.0,PG,Deathtrap (1982).m4v,/media/daveg/Lib/Movies/Deathtrap (1982).m4v
277434,1,.m4v,H264,368p,23.98,6.73,02:18,Text,DIRECT,NO,2020-10-14 19:02,We Were Soldiers (2002),We Were Soldiers,2019-11-26,7.5,R,We Were Soldiers (2002).m4v,/media/daveg/Lib/Movies/We Were Soldiers (2002).m4v
111742,1,.m4v,H264,480p,29.97,6.70,02:05,Text,DIRECT,NO,2020-10-15 09:55,Wolf (1994),Wolf,,8.0,TV-MA::(TV rating),Wolf (1994).m4v,/media/daveg/Lib/Movies/Wolf (1994).m4v
82351,1,.m4v,H264,352p,-,6.70,01:52,Text,DIRECT,NO,2020-09-14 21:28,Eye of the Needle (1981),Eye of the Needle,,10.0,R,Eye of the Needle (1981).m4v,/media/daveg/Lib/Movies/Eye of the Needle (1981).m4v
51525,1,.m4v,H264,388p,23.98,6.68,01:36,Text,DIRECT,NO,2022-01-20 17:03,"Defiant Ones, The (1958)",The Defiant Ones,,7.6,TV-PG,The Defiant Ones (1958).m4v,/media/daveg/Lib/Movies/The Defiant Ones (1958).m4v
1302006,1,.m4v,H264,460p,23.98,6.68,03:29,Bitmap,TRANSCODE,NO,2020-11-28 09:53,"Irishman, The (2019)",The Irishman,2020-12-27,8.0,R,The Irishman (2019).m4v,/media/daveg/Lib/Movies/The Irishman (2019).m4v
65911,1,.m4v,H264,480p,29.97,6.66,01:50,None,-,NO,2020-09-23 14:10,Jane Eyre (1970),Jane Eyre,,8.0,G::(#370),Jane Eyre (1970).m4v,/media/daveg/Lib/Movies/Jane Eyre (1970).m4v
61107,1,.m4v,H264,460p,23.98,6.64,02:08,Bitmap,TRANSCODE,NO,2020-10-12 22:46,Torn Curtain (1966),Torn Curtain,,9.0,PG,Torn Curtain (1966).m4v,/media/daveg/Lib/Movies/Torn Curtain (1966).m4v
87538,1,.m4v,H264,460p,120,6.64,02:06,Text,DIRECT,NO,2021-09-24 15:59,"Karate Kid, The (1984)",The Karate Kid,,7.3,TV-PG,The Karate Kid (1984).m4v,/media/daveg/Lib/Movies/The Karate Kid (1984).m4v
45897,1,.m4v,H264,480p,23.98,6.62,01:35,Text,DIRECT,NO,2021-09-07 14:30,I Confess (1953),I Confess,,7.3,Not Rated::(DVD Rating),I Confess (1953).m4v,/media/daveg/Lib/Movies/I Confess (1953).m4v
109830,1,.m4v,H264,358p,23.98,6.62,02:22,Text,DIRECT,NO,2020-09-17 12:29,Forrest Gump (1994),Forrest Gump,,10.0,TV-PG,Forrest Gump (1994).m4v,/media/daveg/Lib/Movies/Forrest Gump (1994).m4v
73273,1,.m4v,H264,480p,29.97,6.61,01:36,Text,DIRECT,NO,2020-10-01 18:25,"Legend of Lizzie Borden, The (1975)",The Legend of Lizzie Borden,,7.7,TV-14,The Legend of Lizzie Borden (1975).m4v,/media/daveg/Lib/Movies/The Legend of Lizzie Borden (1975).m4v
43265,1,.m4v,H264,480p,29.97,6.56,01:45,Bitmap,TRANSCODE,NO,2020-08-28 21:58,"African Queen, The (1951)",The African Queen,2020-05-21,10.0,TV-PG::(V),The African Queen (1951).m4v,/media/daveg/Lib/Movies/The African Queen (1951).m4v
93509,1,.m4v,H264,480p,120,6.56,02:15,Text,DIRECT,NO,2020-09-30 11:26,Matewan (1987),Matewan,,8.0,PG-13,Matewan (1987).m4v,/media/daveg/Lib/Movies/Matewan (1987).m4v
88323,1,.m4v,H264,480p,23.98,6.51,01:42,Text,DIRECT,NO,2020-10-03 10:15,"NeverEnding Story, The (1984)",The NeverEnding Story,,8.0,PG,The NeverEnding Story (1984).m4v,/media/daveg/Lib/Movies/The NeverEnding Story (1984).m4v
106977,1,.m4v,H264,480p,23.98,6.50,02:10,Text,DIRECT,NO,2020-10-03 21:57,"Fugitive, The (1993)",The Fugitive,2020-10-12,10.0,PG-13,The Fugitive (1993).m4v,/media/daveg/Lib/Movies/The Fugitive (1993).m4v
120737,1,.m4v,H264,358p,120,6.49,02:58,Text,DIRECT,NO,2020-09-28 21:10,"Lord of the Rings: The Fellowship of the Ring, The (2001)",The Lord of the Rings: The Fellowship of the Ring,,10.0,PG-13,The Lord of the Rings- The Fellowship of the Ring (2001).m4v,/media/daveg/Lib/Movies/The Lord of the Rings- The Fellowship of the Ring (2001).m4v
109040,1,.m4v,H264,480p,23.98,6.48,01:26,Text,DIRECT,NO,2020-08-28 17:04,Ace Ventura: Pet Detective (1994),Ace Ventura: Pet Detective,2014-05-21,8.0,PG-13,Ace Ventura- Pet Detective (1994).m4v,/media/daveg/Lib/Movies/Ace Ventura- Pet Detective (1994).m4v
94137,0,.m4v,H264,472p,120,6.48,01:42,Text,DIRECT,NO,2020-10-12 18:17,Three Men and a Baby (1987),Three Men and a Baby,2024-01-23,6.1,"TV-PG::(DLS, TV Rating.)",Three Men and a Baby (1987).m4v,/media/daveg/Lib/Movies/Three Men and a Baby (1987).m4v
72684,1,.m4v,H264,406p,23.98,6.46,03:05,Text,DIRECT,NO,2020-09-01 05:15,Barry Lyndon (1975),Barry Lyndon,,8.0,PG,Barry Lyndon (1975).m4v,/media/daveg/Lib/Movies/Barry Lyndon (1975).m4v
68361,1,.m4v,H264,480p,29.97,6.45,01:42,Bitmap,TRANSCODE,NO,2020-09-12 14:55,"Discreet Charm of the Bourgeoisie, The (1972)",The Discreet Charm of the Bourgeoisie,,8.0,PG,The Discreet Charm of the Bourgeoisie (1972).m4v,/media/daveg/Lib/Movies/The Discreet Charm of the Bourgeoisie (1972).m4v
65207,1,.m4v,H264,362p,23.92,6.42,02:38,Text,DIRECT,NO,2020-10-14 20:23,Where Eagles Dare (1968),Where Eagles Dare,,10.0,TV-PG::(DVD rating),Where Eagles Dare (1968).m4v,/media/daveg/Lib/Movies/Where Eagles Dare (1968).m4v
961066,1,.m4v,H264,480p,23.98,6.41,02:11,Bitmap,TRANSCODE,NO,2020-09-14 18:40,Everlasting Moments (2008),Everlasting Moments,,8.0,Not Rated,Everlasting Moments (2008).m4v,/media/daveg/Lib/Movies/Everlasting Moments (2008).m4v
120324,1,.m4v,H264,480p,23.98,6.39,02:01,Text,DIRECT,NO,2020-12-31 16:58,"Simple Plan, A (1998)",A Simple Plan,2021-01-01,8.5,R,A Simple Plan (1998).m4v,/media/daveg/Lib/Movies/A Simple Plan (1998).m4v
881320,1,.m4v,H264,462p,23.98,6.38,01:48,Bitmap,TRANSCODE,NO,2020-10-07 12:12,Sanctum (2011),Sanctum,,8.0,R,Sanctum (2011).m4v,/media/daveg/Lib/Movies/Sanctum (2011).m4v
39302,1,.m4v,H264,480p,23.98,6.38,01:46,Text,DIRECT,NO,2020-09-11 20:05,Dark Passage (1947),Dark Passage,,8.0,Passed::(National Board of Review),Dark Passage (1947).m4v,/media/daveg/Lib/Movies/Dark Passage (1947).m4v
50371,1,.m4v,H264,480p,23.98,6.38,02:06,Text,DIRECT,NO,2020-09-15 05:43,"Face in the Crowd, A (1957)",A Face in the Crowd,,8.0,TV-PG::(TV Rating),A Face in the Crowd (1957).m4v,/media/daveg/Lib/Movies/A Face in the Crowd (1957).m4v
80455,1,.m4v,H264,462p,47.95,6.34,02:13,Bitmap,TRANSCODE,NO,2020-09-03 11:18,"Blues Brothers, The (1980)",The Blues Brothers,,8.0,TV-14,The Blues Brothers (1980).m4v,/media/daveg/Lib/Movies/The Blues Brothers (1980).m4v
65531,1,.m4v,H264,468p,29.97,6.33,02:20,Bitmap,TRANSCODE,NO,2020-09-07 15:47,"Red Circle, The (1970)",The Red Circle,,8.0,Not Rated,The Red Circle (1970).m4v,/media/daveg/Lib/Movies/The Red Circle (1970).m4v
46911,1,.m4v,H264,480p,120,6.33,01:57,Bitmap,TRANSCODE,NO,2020-09-12 10:41,Diabolique (1955),Diabolique,2019-02-26,8.0,Not Rated,Diabolique (1955).m4v,/media/daveg/Lib/Movies/Diabolique (1955).m4v
52561,1,.m4v,H264,480p,120,6.33,02:41,Text,DIRECT,NO,2020-08-30 06:03,Anatomy of a Murder (1959),Anatomy of a Murder,,8.0,Not Rated,Anatomy of a Murder (1959).m4v,/media/daveg/Lib/Movies/Anatomy of a Murder (1959).m4v
71807,1,.m4v,H264,480p,23.98,6.32,02:05,Text,DIRECT,NO,2020-09-13 17:16,"Man with the Golden Gun, The (1974)",The Man with the Golden Gun,,8.0,PG,The Man with the Golden Gun (1974).m4v,/media/daveg/Lib/Movies/James Bond 007/The Man with the Golden Gun (1974).m4v
107843,1,.m4v,H264,480p,23.98,6.32,01:49,Text,DIRECT,NO,2022-01-15 13:01,Point of No Return (1993),Point of No Return,,6.1,R,Point of No Return (1993).m4v,/media/daveg/Lib/Movies/Point of No Return (1993).m4v
496806,1,.m4v,H264,480p,48,6.31,02:02,Bitmap,TRANSCODE,NO,2020-10-04 12:21,Ocean's Thirteen (2007),Ocean's Thirteen,2018-08-23,6.9,"TV-14::(LSV, TV Rating.)",Ocean's Thirteen (2007).m4v,/media/daveg/Lib/Movies/Ocean's Thirteen (2007).m4v
265086,1,.m4v,H264,362p,29.97,6.30,02:24,Text,DIRECT,NO,2020-09-02 19:23,Black Hawk Down (2001),Black Hawk Down,,8.0,R,Black Hawk Down (2001).m4v,/media/daveg/Lib/Movies/Black Hawk Down (2001).m4v
91288,1,.m4v,H264,364p,23.98,6.29,02:00,Bitmap,TRANSCODE,NO,2020-09-23 16:03,Jean de Florette (1986),Jean de Florette,,8.0,PG,Jean de Florette (1986).m4v,/media/daveg/Lib/Movies/Jean de Florette (1986).m4v
56444,1,.m4v,H264,448p,120,6.28,01:53,Bitmap,TRANSCODE,NO,2021-10-16 18:34,"Autumn Afternoon, An (1962)",An Autumn Afternoon,,8.1,Not Rated,An Autumn Afternoon (1962).m4v,/media/daveg/Lib/Movies/An Autumn Afternoon (1962).m4v
35896,1,.m4v,H264,480p,23.98,6.28,02:50,Bitmap,TRANSCODE,NO,2020-09-17 09:34,For Whom the Bell Tolls (1943),For Whom the Bell Tolls,,8.0,Passed::(National Board of Review),For Whom the Bell Tolls (1943).m4v,/media/daveg/Lib/Movies/For Whom the Bell Tolls (1943).m4v
97733,1,.m4v,H264,480p,120,6.28,01:54,Text,DIRECT,NO,2020-09-28 09:15,Lethal Weapon 2 (1989),Lethal Weapon 2,,10.0,TV-14,Lethal Weapon 2 (1989).m4v,/media/daveg/Lib/Movies/Lethal Weapon 2 (1989).m4v
70040,1,.m4v,H264,480p,120,6.27,01:38,Bitmap,TRANSCODE,NO,2021-10-01 19:30,"Spirit of the Beehive, The (1973)",The Spirit of the Beehive,,7.9,Not Rated,The Spirit of the Beehive (1973).m4v,/media/daveg/Lib/Movies/The Spirit of the Beehive (1973).m4v
32484,1,.m4v,H264,472p,23.98,6.26,02:00,Bitmap,TRANSCODE,NO,2020-09-17 09:31,Foreign Correspondent (1940),Foreign Correspondent,2016-04-14,8.0,Passed::(National Board of Review),Foreign Correspondent (1940).m4v,/media/daveg/Lib/Movies/Foreign Correspondent (1940).m4v
110308,1,.m4v,H264,480p,29.97,6.26,01:50,Text,DIRECT,NO,2020-09-27 17:05,"Last Seduction, The (1994)",The Last Seduction,,8.0,R,The Last Seduction (1994).m4v,/media/daveg/Lib/Movies/The Last Seduction (1994).m4v
48728,1,.m4v,H264,462p,23.98,6.25,01:46,Text,DIRECT,NO,2020-09-07 12:44,To Catch a Thief (1955),To Catch a Thief,,8.0,Approved,To Catch a Thief (1955).m4v,/media/daveg/Lib/Movies/To Catch a Thief (1955).m4v
