IMDB_ID,DVD,Ext,Fmt,Resolution,FPS,Size,Time,Sub,Jellyfin,Sized,Modified,Title,Original_Title,Watched,Rating,Certification,Filename,FullPath
756683,1,.m4v,H264,480p,23.98,6.25,01:27,Text,DIRECT,NO,2020-09-29 15:04,"Man from Earth, The (2007)",The Man from Earth,,8.0,Not Rated,The Man from Earth (2007).m4v,/media/daveg/Lib/Movies/The Man from Earth (2007).m4v
23042,1,.m4v,H264,480p,23.98,6.25,01:32,Text,DIRECT,NO,2020-09-21 17:51,I Am a Fugitive from a Chain Gang (1932),I Am a Fugitive from a Chain Gang,,8.0,Passed::(National Board of Review),I Am a Fugitive from a Chain Gang (1932).m4v,/media/daveg/Lib/Movies/I Am a Fugitive from a Chain Gang (1932).m4v
96895,1,.m4v,H264,480p,23.98,6.23,02:06,Text,DIRECT,NO,2021-09-20 20:05,Batman (1989),Batman,2021-10-08,8.0,"TV-14::(DLV, Cartoon Network)",Batman (1989).m4v,/media/daveg/Lib/Movies/Batman (1989).m4v
64276,1,.m4v,H264,464p,120,6.22,01:35,Text,DIRECT,NO,2020-10-01 07:47,Easy Rider (1969),Easy Rider,,7.5,R,Easy Rider (1969).m4v,/media/daveg/Lib/Movies/Easy Rider (1969).m4v
449467,1,.m4v,H264,480p,23.98,6.21,02:23,Text,DIRECT,NO,2020-08-31 18:29,Babel (2006),Babel,,8.0,R,Babel (2006).m4v,/media/daveg/Lib/Movies/Babel (2006).m4v
91480,4,.m4v,H264,364p,23.98,6.20,01:53,Bitmap,TRANSCODE,NO,2020-09-23 16:02,Manon of the Spring (1986),Manon of the Spring,2024-01-23,8.0,PG,Manon of the Spring (1986).m4v,/media/daveg/Lib/Movies/Manon of the Spring (1986).m4v
350258,1,.m4v,H264,460p,120,6.16,02:32,Bitmap,TRANSCODE,NO,2020-10-06 07:19,Ray (2004),Ray,2020-05-12,10.0,TV-14,Ray (2004).m4v,/media/daveg/Lib/Movies/Ray (2004).m4v
74512,1,.m4v,H264,460p,120,6.16,02:00,Bitmap,TRANSCODE,NO,2020-09-15 06:58,Family Plot (1976),Family Plot,,8.0,TV-G::(TV rating),Family Plot (1976).m4v,/media/daveg/Lib/Movies/Family Plot (1976).m4v
47885,1,.m4v,H264,480p,23.98,6.14,01:41,Text,DIRECT,NO,2020-09-02 22:59,Blackboard Jungle (1955),Blackboard Jungle,,8.0,Approved,Blackboard Jungle (1955).m4v,/media/daveg/Lib/Movies/Blackboard Jungle (1955).m4v
38650,1,.m4v,H264,480p,48,6.12,02:10,Bitmap,TRANSCODE,NO,2020-09-09 19:50,It's a Wonderful Life (1946),It's a Wonderful Life,2023-12-25,10.0,TV-G,It's a Wonderful Life (1946).m4v,/media/daveg/Lib/Movies/Christmas/It's a Wonderful Life (1946).m4v
49523,1,.m4v,H264,478p,29.97,6.12,01:45,None,-,NO,2020-10-02 14:00,"Mountain, The (1956)",The Mountain,,8.0,Approved,The Mountain (1956).m4v,/media/daveg/Lib/Movies/The Mountain (1956).m4v
159365,1,.m4v,H264,366p,120,6.11,02:34,Text,DIRECT,NO,2020-09-10 12:57,Cold Mountain (2003),Cold Mountain,,8.0,TV-14::(TV rating),Cold Mountain (2003).m4v,/media/daveg/Lib/Movies/Cold Mountain (2003).m4v
7653254,1,.m4v,H264,480p,23.98,6.10,02:17,Bitmap,TRANSCODE,NO,2020-09-30 08:47,Marriage Story (2019),Marriage Story,2020-08-20,8.0,R,Marriage Story (2019).m4v,/media/daveg/Lib/Movies/Marriage Story (2019).m4v
244316,1,.m4v,H264,470p,29.97,6.09,02:53,Bitmap,TRANSCODE,NO,2020-12-31 17:14,Yi Yi (2000),Yi Yi,,8.2,Not Rated,Yi Yi (2000).m4v,/media/daveg/Lib/Movies/Yi Yi (2000).m4v
68646,1,.m4v,H264,480p,23.98,6.09,02:55,Text,DIRECT,NO,2021-09-15 14:42,"Godfather, The (1972)",The Godfather,2021-09-21,9.0,TV-14,The Godfather (1972).m4v,/media/daveg/Lib/Movies/The Godfather (1972).m4v
363163,1,.m4v,H264,478p,120,6.09,02:36,None,-,NO,2020-09-13 04:54,Downfall (2004),Downfall,,9.0,R,Downfall (2004).m4v,/media/daveg/Lib/Movies/Downfall (2004).m4v
48641,1,.m4v,H264,480p,29.97,6.08,01:49,Bitmap,TRANSCODE,NO,2021-10-08 21:45,Smiles of a Summer Night (1955),Smiles of a Summer Night,2021-11-03,8.5,Not Rated,Smiles of a Summer Night (1955).m4v,/media/daveg/Lib/Movies/Smiles of a Summer Night (1955).m4v
81505,1,.m4v,H264,480p,23.98,6.08,02:26,Text,DIRECT,NO,2020-10-08 11:04,"Shining, The (1980)",The Shining,2020-11-06,8.0,TV-14::(LSV),The Shining (1980).m4v,/media/daveg/Lib/Movies/The Shining (1980).m4v
181689,1,.m4v,H264,356p,120,6.08,02:25,Text,DIRECT,NO,2020-10-01 06:06,Minority Report (2002),Minority Report,2019-07-24,8.5,TV-14::(TV Rating),Minority Report (2002).m4v,/media/daveg/Lib/Movies/Minority Report (2002).m4v
67328,1,.m4v,H264,462p,120,6.07,01:58,Text,DIRECT,NO,2022-07-21 16:56,"Last Picture Show, The (1971)",The Last Picture Show,2014-1-1,8.0,R,The Last Picture Show (1971).m4v,/media/daveg/Lib/Movies/The Last Picture Show (1971).m4v
29192,1,.m4v,H264,446p,120,6.07,01:31,Bitmap,TRANSCODE,NO,2021-10-28 15:34,Make Way for Tomorrow (1937),Make Way for Tomorrow,,8.2,Passed::(National Board of Review),Make Way for Tomorrow (1937).m4v,/media/daveg/Lib/Movies/Make Way for Tomorrow (1937).m4v
1034303,1,.m4v,H264,480p,29.92,6.06,02:17,Text,DIRECT,NO,2020-09-12 05:42,Defiance (2008),Defiance,,8.0,R,Defiance (2008).m4v,/media/daveg/Lib/Movies/Defiance (2008).m4v
290218,1,.m4v,H264,480p,29.97,6.04,01:46,None,-,NO,2020-09-21 19:40,Illusion (2004),Illusion,2016-09-10,8.0,PG-13,Illusion (2004).m4v,/media/daveg/Lib/Movies/Illusion (2004).m4v
241527,1,.m4v,H264,360p,23.98,6.03,02:32,Text,DIRECT,NO,2020-09-05 23:10,Harry Potter and the Sorcerer's Stone (2001),Harry Potter and the Sorcerer's Stone,,10.0,TV-PG::(ABC Family),Harry Potter and the Sorcerer's Stone (2001).m4v,/media/daveg/Lib/Movies/Harry Potter/Harry Potter and the Sorcerer's Stone (2001).m4v
103064,1,.m4v,H264,364p,47.95,6.03,02:17,Text,DIRECT,NO,2020-10-12 09:11,Terminator 2: Judgment Day (1991),Terminator 2: Judgment Day,2021-12-23,10.0,"TV-14::(LV, TV Rating)",Terminator 2- Judgment Day (1991).m4v,/media/daveg/Lib/Movies/Terminator 2- Judgment Day (1991).m4v
331992,1,.m4v,H264,478p,29.97,6.02,01:53,None,-,NO,2020-09-12 11:59,Diana Krall: Live in Paris (2001),Diana Krall: Live in Paris,,8.0,Not Rated,Diana Krall- Live in Paris (2001).m4v,/media/daveg/Lib/Movies/Diana Krall- Live in Paris (2001).m4v
78788,1,.m4v,H264,432p,59.94,6.02,02:27,Text,DIRECT,NO,2020-08-30 14:36,Apocalypse Now (1979),Apocalypse Now,,9.0,"TV-14::(LV, TV Rating.)",Apocalypse Now (1979).m4v,/media/daveg/Lib/Movies/Apocalypse Now (1979).m4v
408306,1,.m4v,H264,362p,23.98,6.01,02:44,Bitmap,TRANSCODE,NO,2020-11-25 19:34,Munich (2005),Munich,2020-11-28,7.5,"TV-14::(DLSV,TV Rating.)",Munich (2005).m4v,/media/daveg/Lib/Movies/Munich (2005).m4v
455824,1,.m4v,H264,368p,23.98,6.01,02:45,Text,DIRECT,NO,2020-08-31 09:49,Australia (2008),Australia,2018-09-19,7.5,PG-13,Australia (2008).m4v,/media/daveg/Lib/Movies/Australia (2008).m4v
93773,1,.m4v,H264,464p,23.98,6.00,01:47,Text,DIRECT,NO,2021-12-23 10:51,Predator (1987),Predator,2021-12-23,8.0,TV-MA::(IFC rating),Predator (1987).m4v,/media/daveg/Lib/Movies/Predator (1987).m4v
212720,1,.m4v,H264,480p,29.97,6.00,02:26,Text,DIRECT,NO,2021-10-14 22:58,A.I. Artificial Intelligence (2001),A.I. Artificial Intelligence,,7.2,TV-14::(DLSV),A.I. Artificial Intelligence (2001).m4v,/media/daveg/Lib/Movies/A.I. Artificial Intelligence (2001).m4v
165832,1,.m4v,H264,480p,29.97,5.98,01:56,Text,DIRECT,NO,2020-09-22 12:45,Interstate 60 (2002),Interstate 60,2016-08-29,8.0,R,Interstate 60 (2002).m4v,/media/daveg/Lib/Movies/Interstate 60 (2002).m4v
2125435,1,.m4v,H264,462p,23.98,5.98,01:33,Text,DIRECT,NO,2020-10-21 06:33,Beasts of the Southern Wild (2012),Beasts of the Southern Wild,2020-11-02,8.0,PG-13,Beasts of the Southern Wild (2012).m4v,/media/daveg/Lib/Movies/Beasts of the Southern Wild (2012).m4v
81974,1,.m4v,H264,480p,120,5.97,01:56,Text,DIRECT,NO,2021-02-10 20:03,Absence of Malice (1981),Absence of Malice,2021-02-16,7.5,PG,Absence of Malice (1981).m4v,/media/daveg/Lib/Movies/Absence of Malice (1981).m4v
108052,1,.m4v,H264,460p,120,5.96,03:15,Bitmap,TRANSCODE,NO,2020-10-07 15:49,Schindler's List (1993),Schindler's List,2016-01-20,9.5,R::(No. 32781),Schindler's List (1993) 1.m4v,/media/daveg/Lib/Movies/Schindler's List (1993) 1.m4v
44008,1,.m4v,H264,480p,59.94,5.96,01:26,None,-,NO,2020-09-09 14:38,"Christmas Carol, A (1951)",A Christmas Carol,,8.0,Not Rated,A Christmas Carol (1951).m4v,/media/daveg/Lib/Movies/Christmas/A Christmas Carol (1951).m4v
304141,1,.m4v,H264,480p,23.98,5.96,02:22,Text,DIRECT,NO,2020-09-06 05:49,Harry Potter and the Prisoner of Azkaban (2004),Harry Potter and the Prisoner of Azkaban,,10.0,TV-PG::(V),Harry Potter and the Prisoner of Azkaban (2004).m4v,/media/daveg/Lib/Movies/Harry Potter/Harry Potter and the Prisoner of Azkaban (2004).m4v
112681,1,.m4v,H264,480p,23.98,5.96,01:45,Text,DIRECT,NO,2020-09-10 06:52,Citizen X (1995),Citizen X,2016-02-20,8.5,R,Citizen X (1995).m4v,/media/daveg/Lib/Movies/Citizen X (1995).m4v
45112,1,.m4v,H264,472p,23.98,5.96,02:28,Bitmap,TRANSCODE,NO,2021-10-01 19:41,"Life of Oharu, The (1952)",The Life of Oharu,,8.1,Not Rated,The Life of Oharu (1952).m4v,/media/daveg/Lib/Movies/The Life of Oharu (1952).m4v
90830,1,.m4v,H264,480p,23.98,5.96,01:59,Bitmap,TRANSCODE,NO,2021-09-21 14:03,Children of a Lesser God (1986),Children of a Lesser God,,7.5,R,Children of a Lesser God (1986).m4v,/media/daveg/Lib/Movies/Children of a Lesser God (1986).m4v
1477834,1,.m4v,H264,480p,23.98,5.93,02:23,Bitmap,TRANSCODE,NO,2020-08-30 17:17,Aquaman (2018),Aquaman,2019-05-13,9.0,PG-13,Aquaman (2018).m4v,/media/daveg/Lib/Movies/Aquaman (2018).m4v
112384,1,.m4v,H264,356p,24.08,5.92,02:20,Bitmap,TRANSCODE,NO,2020-09-24 08:44,Apollo 13 (1995),Apollo 13,2019-07-19,10.0,PG,Apollo 13 (1995).m4v,/media/daveg/Lib/Movies/Apollo 13 (1995).m4v
246460,1,.m4v,H264,480p,23.98,5.92,02:13,Text,DIRECT,NO,2020-12-08 19:55,Die Another Day (2002),Die Another Day,2020-12-15,8.0,PG-13,Die Another Day (2002).m4v,/media/daveg/Lib/Movies/Die Another Day (2002).m4v
55928,1,.m4v,H264,480p,23.98,5.92,01:50,Text,DIRECT,NO,2020-09-13 15:08,Dr. No (1962),Dr. No,,8.0,TV-PG::(TV Rating),Dr. No (1962).m4v,/media/daveg/Lib/Movies/James Bond 007/Dr. No (1962).m4v
469494,1,.m4v,H264,360p,23.98,5.92,02:38,Text,DIRECT,NO,2020-10-12 12:07,There Will Be Blood (2007),There Will Be Blood,,10.0,R,There Will Be Blood (2007).m4v,/media/daveg/Lib/Movies/There Will Be Blood (2007).m4v
66301,1,.m4v,H264,480p,23.98,5.91,01:54,Text,DIRECT,NO,2020-10-06 20:00,Rio Lobo (1970),Rio Lobo,,8.0,Passed::(National Board of Review),Rio Lobo (1970).m4v,/media/daveg/Lib/Movies/Rio Lobo (1970).m4v
97958,1,.m4v,H264,480p,24.08,5.91,01:37,Text,DIRECT,NO,2020-09-09 20:58,National Lampoon's Christmas Vacation (1989),National Lampoon's Christmas Vacation,2023-12-25,7.6,TV-MA::(AMC),National Lampoon's Christmas Vacation (1989).m4v,/media/daveg/Lib/Movies/Christmas/National Lampoon's Christmas Vacation (1989).m4v
72926,1,.m4v,H264,258p,23.98,5.91,02:09,Bitmap,TRANSCODE,NO,2020-09-14 04:26,"Eiger Sanction, The (1975)",The Eiger Sanction,2024-01-08,10.0,Approved,The Eiger Sanction (1975).m4v,/media/daveg/Lib/Movies/The Eiger Sanction (1975).m4v
338751,1,.m4v,H264,368p,23.98,5.90,02:50,Text,DIRECT,NO,2020-08-31 18:07,"Aviator, The (2004)",The Aviator,2005-11-14,8.0,PG-13,The Aviator (2004).m4v,/media/daveg/Lib/Movies/The Aviator (2004).m4v
765429,1,.m4v,H264,460p,23.98,5.88,02:37,Bitmap,TRANSCODE,NO,2020-08-29 19:52,American Gangster (2007),American Gangster,,8.0,R,American Gangster (2007).m4v,/media/daveg/Lib/Movies/American Gangster (2007).m4v
195685,1,.m4v,H264,460p,23.98,5.88,02:11,Bitmap,TRANSCODE,NO,2020-09-14 14:18,Erin Brockovich (2000),Erin Brockovich,2019-03-13,8.0,TV-PG,Erin Brockovich (2000).m4v,/media/daveg/Lib/Movies/Erin Brockovich (2000).m4v
325710,1,.m4v,H264,358p,23.98,5.87,02:34,Text,DIRECT,NO,2020-09-27 16:51,"Last Samurai, The (2003)",The Last Samurai,,10.0,R,The Last Samurai (2003).m4v,/media/daveg/Lib/Movies/The Last Samurai (2003).m4v
101921,1,.m4v,H264,462p,120,5.87,02:10,Bitmap,TRANSCODE,NO,2020-09-17 22:16,Fried Green Tomatoes (1991),Fried Green Tomatoes,,8.0,PG-13,Fried Green Tomatoes (1991).m4v,/media/daveg/Lib/Movies/Fried Green Tomatoes (1991).m4v
134119,1,.m4v,H264,480p,23.98,5.86,02:19,Text,DIRECT,NO,2020-10-03 06:51,"Talented Mr. Ripley, The (1999)",The Talented Mr. Ripley,2024-09-25,8.5,R,The Talented Mr. Ripley (1999).m4v,/media/daveg/Lib/Movies/The Talented Mr. Ripley (1999).m4v
218839,1,.m4v,H264,480p,23.98,5.85,01:30,Text,DIRECT,NO,2021-11-04 18:30,Best in Show (2000),Best in Show,2021-11-11,7.5,PG-13,Best in Show (2000).m4v,/media/daveg/Lib/Movies/Best in Show (2000).m4v
265651,1,.m4v,H264,464p,47.95,5.83,01:50,Text,DIRECT,NO,2020-10-06 19:55,Ripley's Game (2002),Ripley's Game,2019-12-08,9.0,R,Ripley's Game (2002).m4v,/media/daveg/Lib/Movies/Ripley's Game (2002).m4v
116905,1,.m4v,H264,334p,23.98,5.82,02:15,Text,DIRECT,NO,2020-09-28 16:55,Lone Star (1996),Lone Star,2016-08-29,8.0,R,Lone Star (1996).m4v,/media/daveg/Lib/Movies/Lone Star (1996).m4v
